website_id,page_path,active_users,sessions,page_views,engaged_sessions,engagement_rate,average_session_duration,screen_page_views_per_user,first_visit,page_view,scroll,session_start,user_engagement,performance_label
1,/,10,29,92,15,0.29500000000000004,125.1325,5.20875,5.0,70.0,49.0,18.0,56.0,0
1,/page2,7,15,37,13,0.8,23.062,4.3,1.0,26.0,25.0,1.0,20.0,1
1,/page3,6,11,21,10,0.8,119.85,3.5,0.0,12.0,12.0,0.0,10.0,1
1,/page4,7,13,28,12,0.8,75.04799999999999,3.7,0.0,19.0,11.0,1.0,11.0,1
1,/page5,6,13,28,11,0.8,33.914,5.0,0.0,22.0,20.0,1.0,17.0,1
3,/,16,49,120,26,0.486,147.132,4.911333333333333,3.0,94.0,65.0,23.0,74.0,0
3,/page2,9,19,44,17,0.9042857142857142,40.90714285714286,4.071428571428571,0.0,40.0,32.0,4.0,31.0,1
3,/page3,8,13,22,12,0.9285714285714286,6.151428571428572,2.642857142857143,0.0,19.0,18.0,1.0,15.0,1
3,/page4,9,15,33,15,1.0,71.43714285714285,3.357142857142857,0.0,27.0,12.0,0.0,18.0,1
3,/page5,8,17,35,15,0.8814285714285715,210.4628571428572,4.571428571428571,0.0,29.0,27.0,2.0,23.0,1
4,/,7,10,12,3,0.33285714285714285,167.4385714285714,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0
4,/details,3,3,5,3,1.0,442.9533333333333,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0
4,/page,4,6,6,3,0.75,10.7475,1.5,0.0,0.0,0.0,0.0,0.0,0
5,/,3,3,7,3,1.0,374.115,2.5,0.0,0.0,0.0,0.0,0.0,0
5,/cabinet,8,8,10,3,0.645,54.475,2.0,0.0,0.0,0.0,0.0,0.0,0
5,/cabinet/about.html,2,2,6,2,1.0,10.045,3.0,0.0,0.0,0.0,0.0,0.0,0
5,/cabinet/appointments.html,3,3,9,2,0.75,6.24,2.75,0.0,0.0,0.0,0.0,0.0,0
5,/cabinet/blog.html,2,8,8,2,0.3333333333333333,29.69333333333333,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0
5,/cabinet/contact.html,2,2,6,2,1.0,8.43,3.0,0.0,0.0,0.0,0.0,0.0,0
5,/cabinet/doctors.html,4,4,9,2,0.665,4.83,2.165,0.0,0.0,0.0,0.0,0.0,0
5,/cabinet/faq.html,2,2,4,2,1.0,9.010000000000002,2.0,0.0,0.0,0.0,0.0,0.0,0
5,/voyages,1,1,1,1,1.0,121.31,1.0,0.0,0.0,0.0,0.0,0.0,0
6,/travel_agency,2,2,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
