website_id,page,clicks,impressions,ctr,position,visibility_label,visibility_score,anomaly_flag,anomaly_score
5,/cabinet/contact.html,5,76,0.062,16.59,1,57.0,1,0.0229
1,/page5,4,37,0.071,7.32,1,98.0,1,0.0606
5,/cabinet/blog.html,7,23,0.172,10.54,0,7.0,1,0.1083
5,/cabinet/faq.html,1,1,0.79,2.48,0,0.0,1,0.0399
5,/cabinet/contact.html,0,3,0.0,26.34,0,0.0,1,0.1349
5,/cabinet/about.html,1,3,0.342,2.73,0,0.0,1,0.1474
5,/voyages,1,19,0.065,8.58,1,99.0,1,0.0401
5,/cabinet,1,3,0.368,1.37,0,0.0,1,0.1476
1,/page3,5,49,0.085,15.81,0,0.0,1,0.1569
5,/cabinet/blog.html,6,69,0.059,12.18,0,1.0,1,0.1123
6,/travel_agency,3,33,0.083,13.7,0,3.0,1,0.1586
5,/cabinet,1,47,0.03,9.09,1,95.0,1,0.0237
5,/voyages,4,25,0.083,19.7,0,0.0,1,0.1658
3,/,17,27,0.546,1.17,1,100.0,1,0.0182
6,/travel_agency,3,31,0.071,17.55,0,2.0,1,0.1684
1,/page4,13,17,0.39,26.62,0,0.0,-1,-0.0293
6,/travel_agency,3,85,0.075,12.05,0,1.0,1,0.0925
5,/cabinet/contact.html,1,49,0.037,12.34,0,0.0,1,0.1464
6,/travel_agency,3,72,0.057,10.56,0,5.0,1,0.1101
1,/page2,0,28,0.008,54.99,0,1.0,1,0.081
5,/cabinet/faq.html,1,3,0.487,2.44,0,0.0,1,0.1531
5,/cabinet/faq.html,1,3,0.386,1.93,1,71.0,1,0.0244
5,/cabinet/contact.html,0,2,0.0,45.65,0,0.0,1,0.1033
5,/cabinet/appointments.html,1,25,0.049,8.42,1,99.0,1,0.0486
5,/cabinet/blog.html,0,2,0.0,4.26,0,0.0,1,0.1162
5,/cabinet/contact.html,7,32,0.154,12.9,0,0.0,1,0.1255
5,/cabinet/blog.html,5,39,0.113,9.73,1,97.0,1,0.0534
1,/,17,51,0.217,1.0,1,89.0,-1,-0.0058
6,/travel_agency,7,95,0.09,11.19,0,0.0,1,0.0598
5,/cabinet/faq.html,1,3,0.417,2.51,0,7.0,1,0.1254
4,/,2,3,0.673,1.0,0,0.0,1,0.1021
1,/page4,7,28,0.134,25.93,0,0.0,1,0.1222
4,/,2,56,0.03,14.65,0,5.0,1,0.1207
4,/,3,4,0.577,2.36,0,1.0,1,0.0753
5,/cabinet/appointments.html,1,33,0.017,51.97,0,1.0,1,0.1225
5,/cabinet/about.html,1,2,0.437,3.18,0,0.0,1,0.1579
5,/cabinet/about.html,1,3,0.345,3.65,0,0.0,1,0.142
1,/page5,13,256,0.05,3.55,1,84.0,-1,-0.0912
5,/cabinet/blog.html,0,3,0.0,2.69,0,0.0,1,0.1196
4,/,2,4,0.549,1.29,0,0.0,1,0.1045
5,/cabinet/blog.html,2,64,0.054,7.69,1,98.0,1,0.048
3,/,14,21,0.604,1.0,1,100.0,1,0.018
5,/cabinet/faq.html,4,57,0.061,19.39,0,1.0,1,0.1432
5,/cabinet/appointments.html,1,41,0.016,43.14,0,0.0,1,0.1249
5,/voyages,5,49,0.069,19.38,0,0.0,1,0.1538
5,/cabinet/appointments.html,1,20,0.029,48.9,0,3.0,1,0.116
6,/travel_agency,5,93,0.089,18.68,0,2.0,1,0.0764
1,/page2,0,28,0.006,67.78,0,0.0,1,0.0429
3,/,5,64,0.084,17.57,0,0.0,1,0.1422
1,/page4,12,22,0.282,14.91,0,1.0,1,0.0168
5,/cabinet/blog.html,7,79,0.089,9.95,1,95.0,1,0.0242
3,/,11,39,0.458,1.18,1,94.0,1,0.0148
6,/travel_agency,7,68,0.096,18.05,0,0.0,1,0.1095
1,/page4,9,22,0.022,19.64,0,1.0,1,0.0753
3,/,5,21,0.142,15.74,0,0.0,1,0.1368
