website_id,page,clicks,impressions,ctr,position,visibility_label,visibility_score
5,/cabinet/contact.html,5,76,0.062,16.59,1,57.0
1,/page5,4,37,0.071,7.32,1,98.0
5,/cabinet/blog.html,7,23,0.172,10.54,0,7.0
5,/cabinet/faq.html,1,1,0.79,2.48,0,0.0
5,/cabinet/contact.html,0,3,0.0,26.34,0,0.0
5,/cabinet/about.html,1,3,0.342,2.73,0,0.0
5,/voyages,1,19,0.065,8.58,1,99.0
5,/cabinet,1,3,0.368,1.37,0,0.0
1,/page3,5,49,0.085,15.81,0,0.0
5,/cabinet/blog.html,6,69,0.059,12.18,0,1.0
6,/travel_agency,3,33,0.083,13.7,0,3.0
5,/cabinet,1,47,0.03,9.09,1,95.0
5,/voyages,4,25,0.083,19.7,0,0.0
3,/,17,27,0.546,1.17,1,100.0
6,/travel_agency,3,31,0.071,17.55,0,2.0
1,/page4,13,17,0.39,26.62,0,0.0
6,/travel_agency,3,85,0.075,12.05,0,1.0
5,/cabinet/contact.html,1,49,0.037,12.34,0,0.0
6,/travel_agency,3,72,0.057,10.56,0,5.0
1,/page2,0,28,0.008,54.99,0,1.0
5,/cabinet/faq.html,1,3,0.487,2.44,0,0.0
5,/cabinet/faq.html,1,3,0.386,1.93,1,71.0
5,/cabinet/contact.html,0,2,0.0,45.65,0,0.0
5,/cabinet/appointments.html,1,25,0.049,8.42,1,99.0
5,/cabinet/blog.html,0,2,0.0,4.26,0,0.0
5,/cabinet/contact.html,7,32,0.154,12.9,0,0.0
5,/cabinet/blog.html,5,39,0.113,9.73,1,97.0
1,/,17,51,0.217,1.0,1,89.0
6,/travel_agency,7,95,0.09,11.19,0,0.0
5,/cabinet/faq.html,1,3,0.417,2.51,0,7.0
4,/,2,3,0.673,1.0,0,0.0
1,/page4,7,28,0.134,25.93,0,0.0
4,/,2,56,0.03,14.65,0,5.0
4,/,3,4,0.577,2.36,0,1.0
5,/cabinet/appointments.html,1,33,0.017,51.97,0,1.0
5,/cabinet/about.html,1,2,0.437,3.18,0,0.0
5,/cabinet/about.html,1,3,0.345,3.65,0,0.0
1,/page5,13,256,0.05,3.55,1,84.0
5,/cabinet/blog.html,0,3,0.0,2.69,0,0.0
4,/,2,4,0.549,1.29,0,0.0
5,/cabinet/blog.html,2,64,0.054,7.69,1,98.0
3,/,14,21,0.604,1.0,1,100.0
5,/cabinet/faq.html,4,57,0.061,19.39,0,1.0
5,/cabinet/appointments.html,1,41,0.016,43.14,0,0.0
5,/voyages,5,49,0.069,19.38,0,0.0
5,/cabinet/appointments.html,1,20,0.029,48.9,0,3.0
6,/travel_agency,5,93,0.089,18.68,0,2.0
1,/page2,0,28,0.006,67.78,0,0.0
3,/,5,64,0.084,17.57,0,0.0
1,/page4,12,22,0.282,14.91,0,1.0
5,/cabinet/blog.html,7,79,0.089,9.95,1,95.0
3,/,11,39,0.458,1.18,1,94.0
6,/travel_agency,7,68,0.096,18.05,0,0.0
1,/page4,9,22,0.022,19.64,0,1.0
3,/,5,21,0.142,15.74,0,0.0
1,/page2,0,24,0.005,98.54,0,3.0
5,/cabinet/appointments.html,1,28,0.023,35.23,0,0.0
5,/cabinet/faq.html,1,3,0.458,2.66,1,63.0
1,/page5,15,129,0.108,1.93,1,100.0
6,/travel_agency,1,74,0.04,17.67,0,2.0
1,/,1,68,0.025,7.53,1,99.0
5,/cabinet/about.html,1,1,0.695,4.12,0,0.0
1,/page4,4,11,0.196,20.97,0,1.0
3,/,6,10,0.348,14.88,0,1.0
5,/voyages,4,17,0.121,24.35,0,0.0
5,/cabinet/appointments.html,1,29,0.021,36.81,0,0.0
5,/cabinet/about.html,1,2,0.569,3.43,0,0.0
1,/,15,43,0.249,1.36,1,100.0
4,/,3,17,0.124,16.87,0,2.0
5,/cabinet/contact.html,0,3,0.0,27.02,0,0.0
5,/cabinet/about.html,5,62,0.082,19.47,0,0.0
4,/,2,3,0.75,1.0,0,0.0
1,/page3,2,28,0.037,43.66,0,0.0
3,/,2,60,0.055,17.35,0,0.0
5,/cabinet/contact.html,0,4,0.0,48.97,0,5.0
6,/travel_agency,7,82,0.092,14.97,0,0.0
5,/cabinet/contact.html,0,3,0.0,39.06,0,0.0
5,/cabinet/appointments.html,4,44,0.086,7.56,1,100.0
4,/,2,3,0.71,1.12,0,0.0
6,/travel_agency,5,52,0.096,21.62,0,0.0
5,/cabinet/blog.html,0,3,0.0,3.55,0,0.0
1,/page5,15,199,0.068,5.23,1,97.0
6,/travel_agency,6,98,0.095,11.66,0,0.0
5,/voyages,4,72,0.042,13.91,0,0.0
4,/,2,4,0.726,1.0,0,0.0
5,/cabinet/faq.html,1,3,0.491,2.43,0,0.0
3,/,17,35,0.476,1.0,1,99.0
4,/,2,4,0.681,1.0,0,0.0
1,/,12,54,0.161,1.17,1,97.0
3,/,1,47,0.038,17.43,0,0.0
1,/page4,3,20,0.118,19.33,0,0.0
5,/cabinet/about.html,1,2,0.446,2.35,0,0.0
1,/,11,50,0.156,1.2,1,99.0
1,/page5,18,174,0.101,3.02,1,98.0
3,/,3,29,0.065,9.16,1,100.0
5,/cabinet,2,19,0.089,8.89,1,99.0
5,/cabinet,5,73,0.056,18.85,0,0.0
1,/page5,17,180,0.096,2.84,1,99.0
5,/cabinet/faq.html,1,2,0.542,3.43,0,0.0
6,/travel_agency,6,61,0.063,23.23,0,1.0
1,/page2,0,20,0.011,43.98,0,0.0
5,/cabinet/contact.html,0,2,0.0,26.68,0,0.0
5,/cabinet/blog.html,0,2,0.0,2.46,0,0.0
1,/page5,16,132,0.097,2.81,1,100.0
3,/,14,21,0.569,1.23,1,100.0
1,/page5,14,147,0.095,1.99,1,100.0
1,/,15,28,0.294,2.18,1,98.0
4,/,2,2,0.838,1.0,0,0.0
5,/cabinet/blog.html,7,58,0.078,10.36,0,18.0
1,/,18,36,0.323,1.14,1,99.0
5,/voyages,4,19,0.11,25.39,0,0.0
5,/cabinet,1,2,0.523,1.24,0,0.0
5,/cabinet/contact.html,0,3,0.0,36.5,0,0.0
3,/,18,39,0.498,1.11,1,100.0
5,/cabinet,1,2,0.52,1.08,0,0.0
5,/cabinet/contact.html,0,4,0.0,28.48,0,0.0
5,/cabinet/about.html,1,3,0.411,3.44,0,4.0
5,/cabinet/about.html,3,16,0.131,9.36,1,95.0
5,/cabinet/blog.html,0,3,0.0,2.61,0,0.0
4,/,2,3,0.819,1.0,0,0.0
5,/cabinet/faq.html,1,2,0.426,2.56,0,1.0
5,/cabinet/faq.html,1,3,0.488,1.8,0,1.0
5,/cabinet/about.html,1,2,0.543,3.92,0,0.0
6,/travel_agency,5,83,0.088,15.26,0,0.0
6,/travel_agency,4,10,0.24,7.62,1,92.0
3,/,7,65,0.086,28.34,0,0.0
5,/cabinet/faq.html,6,13,0.274,16.52,0,1.0
5,/voyages,2,14,0.074,39.78,0,0.0
5,/cabinet/appointments.html,1,45,0.015,38.72,0,0.0
1,/,15,53,0.195,1.09,1,90.0
4,/,3,21,0.118,8.81,1,96.0
5,/voyages,3,18,0.088,29.11,0,0.0
1,/,15,41,0.229,1.27,1,98.0
5,/cabinet/faq.html,1,1,0.7,3.0,0,0.0
1,/page4,6,18,0.174,34.77,0,0.0
1,/,7,68,0.089,18.45,0,0.0
5,/cabinet,1,2,0.399,2.09,0,6.0
1,/page5,12,233,0.076,2.27,1,93.0
5,/cabinet/blog.html,3,66,0.045,15.49,0,0.0
4,/,1,2,0.536,1.29,0,0.0
3,/,19,20,0.694,1.13,1,99.0
1,/,8,29,0.212,1.15,1,99.0
5,/cabinet/about.html,1,3,0.465,2.38,0,1.0
1,/page5,12,236,0.075,3.21,1,91.0
1,/page3,2,22,0.046,79.01,0,0.0
5,/cabinet/contact.html,3,29,0.066,11.41,0,6.0
5,/cabinet/contact.html,0,3,0.0,50.32,0,0.0
1,/page5,6,57,0.074,29.03,0,0.0
1,/,17,46,0.238,1.1,1,100.0
6,/travel_agency,1,58,0.023,7.4,1,93.0
1,/page4,5,32,0.108,12.64,0,0.0
1,/page3,2,39,0.026,67.97,0,2.0
5,/voyages,2,18,0.059,19.96,0,0.0
3,/,12,34,0.52,1.0,1,97.0
5,/voyages,2,34,0.036,14.08,1,67.0
1,/page4,9,20,0.237,25.1,0,0.0
1,/,14,39,0.223,1.0,1,99.0
5,/cabinet,1,3,0.38,1.16,0,3.0
1,/page2,0,26,0.011,56.49,0,1.0
1,/page4,13,17,0.391,15.99,0,0.0
1,/page4,6,23,0.142,20.0,0,0.0
1,/page3,2,28,0.037,61.09,0,0.0
1,/page3,3,26,0.059,65.52,0,1.0
5,/cabinet/faq.html,1,2,0.551,2.0,0,0.0
5,/cabinet/faq.html,1,3,0.452,2.3,0,12.0
1,/page2,0,28,0.008,47.96,0,4.0
1,/page3,5,72,0.055,12.4,0,0.0
5,/cabinet/appointments.html,1,32,0.021,51.51,0,0.0
5,/cabinet/faq.html,1,3,0.276,5.07,0,1.0
5,/cabinet/about.html,1,3,0.384,4.08,0,2.0
5,/voyages,4,29,0.072,29.04,0,9.0
1,/page2,2,36,0.055,8.2,1,100.0
5,/cabinet,1,2,0.367,1.85,0,4.0
6,/travel_agency,6,111,0.066,15.21,0,0.0
5,/cabinet,1,3,0.426,1.03,0,19.0
1,/page2,0,28,0.007,52.44,0,0.0
5,/voyages,4,29,0.073,31.81,0,3.0
1,/page3,2,24,0.043,75.79,0,2.0
5,/cabinet/faq.html,1,2,0.428,1.97,0,4.0
5,/cabinet/blog.html,1,44,0.027,11.52,0,1.0
1,/page4,8,26,0.164,25.21,0,1.0
3,/,18,22,0.778,1.05,1,100.0
4,/,1,58,0.05,10.61,0,1.0
5,/voyages,3,22,0.071,16.9,0,6.0
5,/cabinet/about.html,1,3,0.289,6.72,0,0.0
5,/cabinet/blog.html,7,46,0.109,13.03,0,0.0
3,/,13,40,0.374,1.0,1,100.0
5,/cabinet/faq.html,1,2,0.5,2.5,0,0.0
3,/,5,37,0.078,11.19,0,1.0
1,/page5,4,51,0.07,10.67,0,0.0
1,/page2,0,26,0.011,37.11,0,0.0
1,/page5,9,146,0.077,3.57,1,99.0
5,/cabinet/faq.html,5,78,0.058,14.11,0,3.0
1,/page5,10,197,0.053,3.38,1,98.0
5,/cabinet/about.html,5,24,0.123,9.68,1,96.0
4,/,7,22,0.19,19.21,0,0.0
1,/,18,53,0.22,1.05,0,31.0
1,/,17,26,0.376,1.17,1,100.0
1,/,11,30,0.234,1.04,1,92.0
3,/,1,42,0.038,14.84,0,0.0
5,/cabinet,1,3,0.44,1.23,0,6.0
5,/cabinet/about.html,4,11,0.206,19.94,0,1.0
5,/voyages,5,70,0.066,17.78,0,3.0
3,/,5,47,0.103,11.87,0,0.0
1,/page5,13,179,0.077,2.65,1,100.0
6,/travel_agency,6,52,0.107,10.85,0,0.0
5,/cabinet/appointments.html,1,38,0.017,41.06,0,1.0
5,/cabinet,1,2,0.515,1.26,0,0.0
5,/cabinet/blog.html,0,2,0.0,4.6,0,16.0
5,/cabinet/faq.html,1,2,0.555,2.59,0,1.0
1,/page5,13,138,0.078,1.97,1,100.0
