website_id,url,title_length,meta_description_length,h1_count,h2_count,paragraph_count,word_count,images_count,images_without_alt,internal_links_count,external_links_count,status_code,response_time_ms,technical_score_target,is_synthetic
1,https://chipper-creponne-32db5f.netlify.app/,54,110,1,0,2,54,1,0,4,0,200,430,73,0
1,https://chipper-creponne-32db5f.netlify.app/page3,55,133,1,2,8,155,0,0,7,0,200,450,80,0
1,https://chipper-creponne-32db5f.netlify.app/page4,45,111,1,5,8,167,0,0,7,0,200,617,80,0
1,https://chipper-creponne-32db5f.netlify.app/page2,46,108,1,4,6,127,0,0,7,0,200,646,73,0
1,https://chipper-creponne-32db5f.netlify.app,54,110,1,0,2,54,1,0,4,0,200,663,73,0
1,https://chipper-creponne-32db5f.netlify.app/page5,43,83,1,2,6,117,0,0,6,0,200,558,73,0
4,https://jazzy-otter-3fa56a.netlify.app/,37,0,0,5,3,264,15,0,3,0,200,1177,40,0
6,https://ela103.github.io/travel_agency/contact.html,46,125,1,1,7,213,13,0,24,2,200,382,72,0
4,https://jazzy-otter-3fa56a.netlify.app/page,27,0,1,0,1,244,33,32,3,0,200,625,30,0
4,https://jazzy-otter-3fa56a.netlify.app/details,7,0,1,2,8,242,13,12,4,0,200,408,30,0
4,https://jazzy-otter-3fa56a.netlify.app/paiement,7,0,2,7,3,295,6,6,4,0,200,398,20,0
5,https://ela103.github.io/cabinet/,65,159,1,6,15,361,0,0,11,0,200,462,72,0
5,https://ela103.github.io/cabinet/index.html,65,159,1,6,15,361,0,0,11,0,200,480,72,0
5,https://ela103.github.io/cabinet/appointments.html,40,124,2,5,8,264,0,0,9,0,200,464,60,0
5,https://ela103.github.io/cabinet/doctors.html,32,0,1,1,7,121,3,0,11,0,200,569,48,0
5,https://ela103.github.io/cabinet/services.html,35,114,2,7,13,370,1,0,9,0,200,449,70,0
5,https://ela103.github.io/cabinet/about.html,26,96,2,5,9,213,1,0,9,0,200,555,50,0
5,https://ela103.github.io/cabinet/contact.html,25,79,2,3,9,110,0,0,8,0,200,485,43,0
5,https://ela103.github.io/cabinet/faq.html,21,136,2,9,11,293,1,0,12,0,200,521,50,0
5,https://ela103.github.io/cabinet/blog.html,28,116,2,3,8,201,3,0,11,0,200,455,50,0
5,https://ela103.github.io/cabinet/blog-cardiologie.html,50,122,2,4,7,258,1,0,10,0,200,793,60,0
6,https://ela103.github.io/travel_agency/,38,142,4,7,15,865,49,0,29,1,200,316,80,0
6,https://ela103.github.io/travel_agency/offers.html,0,110,1,0,6,464,33,0,29,1,200,317,64,0
6,https://ela103.github.io/travel_agency/blog.html,28,0,1,0,7,477,21,0,24,7,200,321,67,0
6,https://ela103.github.io/travel_agency/about.html,36,15,1,0,3,248,20,0,23,2,200,384,64,0
6,https://ela103.github.io/travel_agency/index.html,38,142,4,7,15,865,49,0,29,1,200,1631,80,0
6,https://ela103.github.io/travel_agency/single_listing.html,31,120,1,0,4,490,31,0,36,1,200,297,82,0
1,https://chipper-creponne-32db5f.netlify.app/,50,99,1,0,2,51,3,0,6,0,200,478,77,1
1,https://chipper-creponne-32db5f.netlify.app/,49,119,1,0,2,63,0,0,2,0,200,459,72,1
1,https://chipper-creponne-32db5f.netlify.app/,54,113,1,0,2,59,3,0,2,0,200,390,75,1
1,https://chipper-creponne-32db5f.netlify.app/,58,114,1,0,2,55,0,0,6,0,200,450,69,1
1,https://chipper-creponne-32db5f.netlify.app/,57,116,1,0,2,51,0,0,7,0,200,525,75,1
1,https://chipper-creponne-32db5f.netlify.app/,52,103,1,0,2,57,0,1,5,0,200,524,75,1
1,https://chipper-creponne-32db5f.netlify.app/,56,103,1,0,2,61,0,0,3,0,200,451,75,1
1,https://chipper-creponne-32db5f.netlify.app/,48,112,1,0,2,61,3,1,2,0,200,474,75,1
1,https://chipper-creponne-32db5f.netlify.app/,49,115,1,0,2,58,0,0,1,0,200,486,76,1
1,https://chipper-creponne-32db5f.netlify.app/,54,114,1,0,2,57,0,0,4,0,200,519,68,1
1,https://chipper-creponne-32db5f.netlify.app/,54,110,1,0,2,48,3,0,7,0,200,445,76,1
1,https://chipper-creponne-32db5f.netlify.app/,55,100,1,0,2,57,2,1,1,0,200,532,72,1
1,https://chipper-creponne-32db5f.netlify.app/,57,116,1,0,2,50,1,1,7,0,200,492,74,1
1,https://chipper-creponne-32db5f.netlify.app/,55,100,1,0,2,44,1,1,5,0,200,363,70,1
1,https://chipper-creponne-32db5f.netlify.app/,52,104,1,0,2,55,3,0,3,0,200,480,72,1
1,https://chipper-creponne-32db5f.netlify.app/,51,109,1,0,2,50,2,1,7,0,200,403,73,1
1,https://chipper-creponne-32db5f.netlify.app/,49,109,1,0,2,49,2,0,2,0,200,373,75,1
1,https://chipper-creponne-32db5f.netlify.app/,55,110,1,0,2,62,0,1,6,0,200,407,74,1
1,https://chipper-creponne-32db5f.netlify.app/,56,111,1,0,2,44,0,0,3,0,200,467,74,1
1,https://chipper-creponne-32db5f.netlify.app/,52,112,1,0,2,56,3,1,3,0,200,463,70,1
1,https://chipper-creponne-32db5f.netlify.app/,51,115,1,0,2,63,1,0,1,0,200,557,74,1
1,https://chipper-creponne-32db5f.netlify.app/,58,112,1,0,2,52,2,0,3,0,200,445,78,1
1,https://chipper-creponne-32db5f.netlify.app/,57,103,1,0,2,51,0,1,7,0,200,401,73,1
1,https://chipper-creponne-32db5f.netlify.app/,50,111,1,0,2,45,3,0,6,0,200,366,68,1
1,https://chipper-creponne-32db5f.netlify.app/,52,119,1,0,2,44,0,1,2,0,200,518,74,1
1,https://chipper-creponne-32db5f.netlify.app/,52,100,1,0,2,48,1,0,6,0,200,551,69,1
1,https://chipper-creponne-32db5f.netlify.app/,49,115,1,0,2,64,0,0,3,0,200,400,70,1
1,https://chipper-creponne-32db5f.netlify.app/,52,115,1,0,2,45,0,0,5,0,200,361,68,1
1,https://chipper-creponne-32db5f.netlify.app/,56,113,1,0,2,49,0,1,7,0,200,465,76,1
1,https://chipper-creponne-32db5f.netlify.app/,51,113,1,0,2,63,3,1,3,0,200,549,76,1
1,https://chipper-creponne-32db5f.netlify.app/,54,110,1,0,2,55,1,0,1,0,200,407,75,1
1,https://chipper-creponne-32db5f.netlify.app/,51,101,1,0,2,56,3,0,3,0,200,385,74,1
1,https://chipper-creponne-32db5f.netlify.app/,52,100,1,0,2,45,3,1,6,0,200,396,76,1
1,https://chipper-creponne-32db5f.netlify.app/,52,108,1,0,2,49,0,1,6,0,200,428,77,1
1,https://chipper-creponne-32db5f.netlify.app/,51,116,1,0,2,47,2,0,7,0,200,459,71,1
1,https://chipper-creponne-32db5f.netlify.app/,52,106,1,0,2,46,0,0,7,0,200,480,76,1
